userid,ATMS_1,ATMS_2,ATMS_3,ATMS_4,ATMS_5,ATMS_6,ATMS_7,ATMS_8,max_TMS_1,max_TMS_2,max_TMS_3,max_TMS_4,max_TMS_5,max_TMS_6,max_TMS_7,max_TMS_8,min_TMS_1,min_TMS_2,min_TMS_3,min_TMS_4,min_TMS_5,min_TMS_6,min_TMS_7,min_TMS_8,length_1,length_2,length_3,length_4,length_5,length_6,length_7,length_8,accel_x_1,accel_x_2,accel_x_3,accel_x_4,accel_x_5,accel_x_6,accel_x_7,accel_x_8,accel_y_1,accel_y_2,accel_y_3,accel_y_4,accel_y_5,accel_y_6,accel_y_7,accel_y_8,accel_z_1,accel_z_2,accel_z_3,accel_z_4,accel_z_5,accel_z_6,accel_z_7,accel_z_8,max_accel_x_1,max_accel_x_2,max_accel_x_3,max_accel_x_4,max_accel_x_5,max_accel_x_6,max_accel_x_7,max_accel_x_8,min_accel_x_1,min_accel_x_2,min_accel_x_3,min_accel_x_4,min_accel_x_5,min_accel_x_6,min_accel_x_7,min_accel_x_8,max_accel_y_1,max_accel_y_2,max_accel_y_3,max_accel_y_4,max_accel_y_5,max_accel_y_6,max_accel_y_7,max_accel_y_8,min_accel_y_1,min_accel_y_2,min_accel_y_3,min_accel_y_4,min_accel_y_5,min_accel_y_6,min_accel_y_7,min_accel_y_8,max_accel_z_1,max_accel_z_2,max_accel_z_3,max_accel_z_4,max_accel_z_5,max_accel_z_6,max_accel_z_7,max_accel_z_8,min_accel_z_1,min_accel_z_2,min_accel_z_3,min_accel_z_4,min_accel_z_5,min_accel_z_6,min_accel_z_7,min_accel_z_8,total_accel_1,total_accel_2,total_accel_3,total_accel_4,total_accel_5,total_accel_6,total_accel_7,total_accel_8,gyro_x_1,gyro_x_2,gyro_x_3,gyro_x_4,gyro_x_5,gyro_x_6,gyro_x_7,gyro_x_8,gyro_y_1,gyro_y_2,gyro_y_3,gyro_y_4,gyro_y_5,gyro_y_6,gyro_y_7,gyro_y_8,gyro_z_1,gyro_z_2,gyro_z_3,gyro_z_4,gyro_z_5,gyro_z_6,gyro_z_7,gyro_z_8,max_gyro_x_1,max_gyro_x_2,max_gyro_x_3,max_gyro_x_4,max_gyro_x_5,max_gyro_x_6,max_gyro_x_7,max_gyro_x_8,min_gyro_x_1,min_gyro_x_2,min_gyro_x_3,min_gyro_x_4,min_gyro_x_5,min_gyro_x_6,min_gyro_x_7,min_gyro_x_8,max_gyro_y_1,max_gyro_y_2,max_gyro_y_3,max_gyro_y_4,max_gyro_y_5,max_gyro_y_6,max_gyro_y_7,max_gyro_y_8,min_gyro_y_1,min_gyro_y_2,min_gyro_y_3,min_gyro_y_4,min_gyro_y_5,min_gyro_y_6,min_gyro_y_7,min_gyro_y_8,max_gyro_z_1,max_gyro_z_2,max_gyro_z_3,max_gyro_z_4,max_gyro_z_5,max_gyro_z_6,max_gyro_z_7,max_gyro_z_8,min_gyro_z_1,min_gyro_z_2,min_gyro_z_3,min_gyro_z_4,min_gyro_z_5,min_gyro_z_6,min_gyro_z_7,min_gyro_z_8,total_gyro_1,total_gyro_2,total_gyro_3,total_gyro_4,total_gyro_5,total_gyro_6,total_gyro_7,total_gyro_8
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.06812406845343e-06,1.18375820641749e-06,2.4988518943137e-07,1.03226371989895e-06,1.48229584991745e-06,1.06165733144159e-06,1.07934506144582e-06,8.1981279865342e-07,1.50237033408976e-06,1.49740259545387e-06,2.4988518943137e-07,1.70993433573513e-06,1.94117647058824e-06,1.2427937366309e-06,1.24783549621155e-06,1.35326083180322e-06,3.4299717028502e-07,1.01742628725623e-06,2.4988518943137e-07,3.9460023132349e-07,1e-06,9.1318674683882e-07,7.9138964982787e-07,2.6297443897755e-07,802.911023,254.685829,8.246211,196.040189,347.871401,74.029224,125.793861,175.797485,-1.925694,-1.384088,-2.45166,-2.661554,-2.269903,-1.493183,-1.516725,-1.983196,4.820284,4.575558,5.01346,5.091668,4.991112,4.675077,4.648343,4.924074,8.109854,8.380185,7.46512,7.58696,7.808888,8.502607,8.06806,8.019778,-0.960075,-0.708684,-2.45166,-2.09971,-1.66158,-1.38385,-1.18034,-1.13006,-3.04303,-1.77889,-2.45166,-3.28245,-2.92093,-1.70946,-1.86508,-2.6408,5.33189,4.80277,5.01346,5.45399,5.18345,4.74531,4.81474,5.25288,4.45082,4.40054,5.01346,4.85544,4.7501,4.61123,4.53222,4.59687,8.99262,8.88728,7.46512,8.28633,8.41323,8.81784,8.28154,8.56885,7.41484,8.10677,7.46512,6.82826,7.1419,8.28873,7.75003,7.55849,9.652875,9.6557,9.320592,9.534239,9.558585,9.820016,9.43902,9.639024,-0.138265,-0.151983,-0.118508,0.087693,0.126856,0.105476,0.058338,-0.060408,-0.075217,-0.0675,-0.153327,0.017851,0.006414,0.079412,-0.002342,-0.004548,0.189481,0.280693,0.07758,-0.164526,-0.239765,-0.182649,-0.093361,0.048123,0.026878,-0.061086,-0.118508,0.229685,0.243124,0.218079,0.097738,0.058643,-0.262061,-0.258396,-0.118508,-0.097738,0.005498,0.004887,0.00733,-0.211359,0.095906,0.034819,-0.153327,0.129503,0.158214,0.135001,0.07758,0.095295,-0.357967,-0.2474,-0.153327,-0.15516,-0.105069,-0.000611,-0.064752,-0.095295,0.372017,0.38851,0.07758,0.064141,-0.171653,-0.109956,-0.000611,0.16249,0.060476,0.169821,0.07758,-0.322537,-0.295659,-0.253509,-0.150273,-0.024435,0.262888,0.335685,0.208739,0.260416,0.287817,0.234035,0.127866,0.13135
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.0605802652408e-06,1.26635661054857e-06,,1.36929142302795e-06,1.00411301915565e-06,1.05411312692453e-06,8.7989150528758e-07,8.7723664402092e-07,1.77658380044399e-06,1.45706851880864e-06,,1.70689625041728e-06,1.78813557477963e-06,1.16025392236828e-06,1.01639453522718e-06,1.10988013318313e-06,4.983719568244e-08,1.08145743005001e-06,,1.00172860976038e-06,5.882352941176e-08,9.5606615879865e-07,7.9138964982787e-07,6.1413567699474e-07,816.079426,231.391033,,204.907059,274.766498,107.207612,61.136779,175.751919,-1.905387,-1.634709,,-2.561199,-2.272098,-1.484408,-1.471637,-1.460944,4.843071,4.623736,,5.043386,4.972205,4.655764,4.651137,4.672525,8.172009,8.16263,,7.674015,7.878214,8.223124,8.451533,8.269333,-0.720655,-1.26893,,-2.38223,-1.34794,-1.34315,-1.39582,-1.17795,-3.2609,-1.95127,,-2.87065,-2.84192,-1.60412,-1.57778,-1.79326,5.41808,4.80277,,5.14035,5.23851,4.71897,4.67827,4.79798,4.33351,4.47955,,4.97515,4.63996,4.60884,4.60166,4.5849,8.76278,8.36055,,8.22408,8.64067,8.47308,8.61913,8.71729,7.37654,7.9272,,7.46033,7.29513,8.02536,8.21929,7.91044,9.715489,9.526871,,9.536606,9.605587,9.566488,9.759304,9.613392,-0.142892,-0.087693,,0.074755,0.114091,0.100182,0.026267,-0.034453,-0.088881,0.004208,,-0.032834,0.071283,0.043005,-0.001425,-0.03262,0.18947,0.24679,,-0.161574,-0.202243,-0.135246,-0.064141,0.039401,0.023213,-0.03543,,0.145386,0.257174,0.116064,0.06353,0.032376,-0.335365,-0.135612,,0.003665,-0.044593,0.078802,0.003054,-0.186925,0.046426,0.04948,,0.018937,0.228464,0.097128,0.023824,0.006109,-0.295659,-0.043982,,-0.086743,-0.120951,0.011606,-0.022602,-0.179594,0.357967,0.29627,,-0.11973,-0.009774,-0.109345,-0.032987,0.166155,0.009774,0.193033,,-0.225409,-0.335976,-0.179594,-0.099571,-0.050702,0.275131,0.265047,,0.188468,0.271561,0.176103,0.074166,0.09461
63zhMNC9G0MQVvRGKg8MKlDk14Q2,8.8171261053636e-07,8.0103480435679e-07,,5.3677528554787e-07,1.42787084589819e-06,8.8407156391361e-07,9.4971781748174e-07,8.8562738570122e-07,1.4925588310333e-06,1.00172860976038e-06,,1.01742628725623e-06,2.06628440685207e-06,9.7017033900498e-07,1.0643366478704e-06,1.12489158747094e-06,1.515151515152e-08,4.9913419848462e-07,,4.285495643555e-08,9.9870157919704e-07,7.6696498884737e-07,7.4406533180432e-07,7.8480376847802e-07,692.186249,303.045497,,106.44259,397.325125,60.610375,95.713019,194.667824,-2.301134,-1.721297,,-3.028398,-2.602327,-2.049437,-2.05614,-2.131929,4.850837,4.556564,,5.063206,4.991055,4.834693,4.770208,4.851088,8.021497,8.336211,,7.501036,7.68419,8.28793,7.896558,7.918062,-1.18274,-1.04866,,-2.77727,-1.8986,-1.8579,-1.7765,-1.51553,-3.28484,-2.58574,,-3.4692,-3.45723,-2.30562,-2.28167,-3.06458,5.37259,4.9536,,5.20021,5.3247,4.90572,4.88657,5.21218,4.36942,4.24013,,4.90093,4.73094,4.79559,4.67827,4.70461,8.85376,8.93995,,7.96551,8.38689,8.57364,8.02058,8.65504,7.21373,7.67581,,7.13951,6.79953,7.85777,7.70215,7.06529,9.675944,9.670866,,9.545567,9.545864,9.81632,9.454122,9.545588,-0.127154,-0.133644,,-0.012692,0.140455,0.115657,0.067684,-0.034264,-0.095138,-0.104424,,-0.038892,0.066628,0.123395,0.043616,-0.004887,0.14407,0.18068,,-0.028303,-0.224057,-0.151087,-0.086865,0.028433,0.022602,-0.023824,,0.081245,0.287107,0.200364,0.102014,0.060476,-0.302989,-0.258396,,-0.07086,-0.024435,0.036652,0.033598,-0.138056,0.069639,-0.00733,,0.020159,0.252287,0.178984,0.103236,0.111788,-0.313374,-0.270002,,-0.100793,-0.106901,0.069028,-0.052534,-0.095906,0.250455,0.233961,,0.022602,-0.114843,-0.109345,-0.036652,0.099571,0.014661,0.090408,,-0.103236,-0.301767,-0.196088,-0.126449,-0.031765,0.235136,0.25553,,0.08065,0.290528,0.229361,0.13089,0.098621
63zhMNC9G0MQVvRGKg8MKlDk14Q2,9.2181900476501e-07,8.5515542108927e-07,,1.56600525205898e-06,1.17318186510294e-06,1.06016562837511e-06,1.04338503599499e-06,7.5636120549958e-07,1.45907719124109e-06,1.37641972159658e-06,,1.87916204729661e-06,1.76568600232984e-06,1.24783549621155e-06,1.15569898261109e-06,1.08145743005001e-06,6.25e-08,3.7665436690781e-07,,1.05923194737465e-06,5.882352941176e-08,8.7249576053866e-07,9.5032320125903e-07,1.3153341044116e-07,767.015945,208.101808,,255.435323,244.320047,50.005564,139.309669,192.43114,-2.173819,-1.835357,,-2.659359,-2.566585,-2.00275,-1.877054,-1.996113,4.703964,4.578712,,4.92517,4.871765,4.64236,4.574977,4.655418,8.048722,8.370328,,7.742849,7.743935,8.075645,8.23879,8.11112,-1.12288,-1.42216,,-2.46842,-2.0662,-1.89381,-1.6113,-1.53229,-3.34231,-2.25055,,-2.82755,-3.29921,-2.11169,-2.05183,-2.81319,5.17866,4.82671,,5.01106,5.13317,4.66391,4.65912,4.98952,4.40054,4.47476,,4.81713,4.69024,4.62081,4.53701,4.51068,8.76996,8.86573,,8.08282,8.2576,8.3414,8.68138,8.54012,7.24725,7.75482,,7.434,7.03416,7.80989,7.9272,7.63511,9.596117,9.721734,,9.556578,9.518277,9.530201,9.611623,9.576203,-0.112712,-0.089034,,0.138896,0.106235,0.209527,0.047124,-0.026489,-0.074019,-0.081551,,0.038408,0.050813,0.167682,0.022515,-0.002832,0.148723,0.148644,,-0.2038,-0.149718,-0.204334,-0.08491,0.017715,-0.007941,0.028711,,0.223577,0.268781,0.213803,0.076358,0.034819,-0.276722,-0.250455,,0.092852,-0.062919,0.205251,0.0281,-0.122784,0.046426,0.023824,,0.130725,0.230296,0.185703,0.06353,0.072082,-0.349415,-0.242514,,-0.001222,-0.079412,0.149662,-0.020159,-0.055589,0.249233,0.262672,,-0.167377,0.023824,-0.199753,-0.064752,0.07086,-0.038484,0.046426,,-0.248622,-0.264505,-0.208916,-0.115454,-0.03543,0.219518,0.21442,,0.253399,0.22698,0.337821,0.103697,0.071581
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.01611596871202e-06,9.6926678737054e-07,1.492537313433e-08,1.31723682690713e-06,1.08520555537683e-06,1.16854136465235e-06,8.110629665995e-07,9.344668776553e-07,1.51167332780598e-06,1.20070380340357e-06,1.492537313433e-08,1.87916204729661e-06,1.54740546329011e-06,1.51302881609939e-06,8.7407303647612e-07,1.23844136890749e-06,3.030303030303e-08,8.318903308077e-08,1.492537313433e-08,2.576941016011e-07,7.0588235294118e-07,1.06066017177982e-06,7.3705671094951e-07,2.2360679774998e-07,686.001129,249.898251,1.0,202.052992,253.628732,122.473817,54.527321,217.872363,-2.260198,-2.236183,-3.0143,-2.916736,-2.624915,-2.098278,-1.7342,-1.993281,4.724485,4.666298,5.02304,4.975451,4.887436,4.656242,4.503493,4.656287,8.035085,8.046727,7.33583,7.480982,7.797045,8.021532,8.193753,8.10002,-0.768539,-1.46046,-3.0143,-2.54025,-2.23379,-1.71185,-1.52511,-1.57299,-3.4668,-2.85149,-3.0143,-3.37343,-3.1388,-2.3942,-2.00634,-2.72939,5.20978,4.92487,5.02304,5.10923,5.06613,4.81474,4.61602,4.99191,4.17309,4.33111,5.02304,4.82192,4.70221,4.41251,4.37181,4.46519,9.3302,8.75799,7.33583,8.03015,8.26239,8.53772,8.52096,8.37252,7.36696,7.5968,7.33583,6.80432,7.0605,7.45794,7.87692,7.5561,9.622506,9.575991,9.387829,9.45712,9.578437,9.51872,9.514507,9.560822,-0.136575,-0.117897,0.055589,0.112094,0.125727,0.142576,0.018326,-0.023046,-0.090056,-0.080211,0.071471,-0.003589,0.060365,0.129504,0.000611,-0.027656,0.159399,0.196135,-0.058032,-0.172646,-0.178095,-0.181305,-0.042353,0.027878,0.0562,0.0,0.055589,0.196699,0.245568,0.21197,0.033598,0.050702,-0.273668,-0.211359,0.055589,-0.082467,-0.023213,0.083688,0.002443,-0.156382,0.092241,-0.011606,0.071471,0.11301,0.237016,0.210138,0.052534,0.058032,-0.295659,-0.182649,0.071471,-0.128893,-0.153938,0.011606,-0.029322,-0.081245,0.299935,0.273057,-0.058032,-0.011606,-0.121562,-0.139277,-0.029322,0.12034,0.025656,0.050702,-0.058032,-0.240681,-0.24007,-0.213192,-0.066584,-0.038484,0.248505,0.250765,0.107545,0.236977,0.253624,0.271855,0.058337,0.088436
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.16942956672435e-06,8.7218536271213e-07,3.030303030303e-08,1.11839911337092e-06,1.15964060037568e-06,9.7769238534865e-07,9.1914722328664e-07,8.2425298313117e-07,1.50519932234904e-06,1.28636274404795e-06,3.030303030303e-08,1.77082273217534e-06,1.58237361264652e-06,1.06800046816469e-06,1.1742683892535e-06,1.01545155891953e-06,6.4851316845554e-07,1.6637806616154e-07,3.030303030303e-08,1.8601633295108e-07,5.882352941176e-08,8.318903308077e-07,9.0663965546e-08,4.4194173824159e-07,786.257277,273.378064,1.0,197.827715,306.32296,66.358479,128.23063,138.413771,-1.952097,-2.050782,-2.67911,-2.515507,-2.548353,-1.650403,-1.710144,-1.974321,4.508058,4.529232,4.89614,4.767388,4.768512,4.41571,4.469634,4.591779,8.242338,8.112303,7.53695,8.005147,7.723694,8.2576,8.25042,7.995136,-1.00078,-1.19231,-2.67911,-1.86029,-1.30484,-1.50595,-1.46765,-1.21147,-3.53145,-3.11964,-2.67911,-3.24893,-3.19387,-1.78129,-2.37744,-2.69827,5.14993,4.96797,4.89614,5.01825,5.05416,4.46519,4.7908,4.84586,4.10606,4.16831,4.89614,4.49152,4.29759,4.37421,4.3359,4.26407,8.95431,8.88009,7.53695,8.73405,8.67419,8.54969,8.55688,8.77236,7.60398,7.48188,7.53695,7.42442,6.72531,7.97269,7.87214,7.56328,9.616957,9.53816,9.378456,9.67035,9.455243,9.510198,9.544971,9.45661,-0.134619,-0.115683,-0.081856,0.09896,0.14454,0.108938,0.01789,-0.051771,-0.06939,-0.122326,-0.16249,0.056539,0.087871,0.061697,-0.0233,0.007865,0.195095,0.176196,0.080634,-0.170907,-0.228886,-0.176336,-0.060737,0.035583,-0.0281,-0.028711,-0.081856,0.262061,0.320704,0.116064,0.107512,0.046426,-0.291994,-0.276722,-0.081856,-0.020159,-0.065973,0.095906,-0.081856,-0.144164,0.036041,-0.007941,-0.16249,0.147219,0.214414,0.087354,0.037874,0.092852,-0.241903,-0.37385,-0.16249,-0.001833,-0.096517,0.037874,-0.073304,-0.102014,0.340863,0.313985,0.080634,-0.017104,0.025656,-0.156992,0.013439,0.123395,0.111788,0.038484,0.080634,-0.288328,-0.377515,-0.191812,-0.125227,-0.031765,0.254933,0.266501,0.199011,0.21759,0.308954,0.217211,0.095327,0.108079
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.02368229991651e-06,1.13604782807497e-06,,1.00965633522073e-06,1.03918192043603e-06,8.890226664926e-07,8.8442323422283e-07,9.6745210250094e-07,1.45907719124109e-06,1.33362165279466e-06,,1.46054784242078e-06,1.83204841204676e-06,1.07342868181733e-06,1.00439036235918e-06,1.21267812518166e-06,4e-08,8.5709912871097e-07,,6.1834694240084e-07,3.030303030303e-08,6.8567930296877e-07,7.3705671094951e-07,1.4159452209709e-07,767.697056,204.628855,,211.450014,271.185364,70.416628,92.331641,202.260311,-1.952339,-1.797089,,-2.745252,-2.315706,-1.72203,-1.754355,-1.612497,4.578711,4.474762,,4.908413,4.724274,4.498108,4.499302,4.441961,8.186773,8.131428,,7.733571,7.847681,8.169612,8.322245,8.232225,-0.936133,-1.30723,,-1.84832,-1.55623,-1.68791,-1.64482,-1.09894,-3.09331,-2.48518,,-3.01909,-2.90417,-1.77889,-1.85551,-2.55461,5.06134,4.67109,,5.06134,4.94403,4.53941,4.52983,4.89854,4.19464,4.30477,,4.66151,4.37181,4.45561,4.458,4.26886,8.72447,8.50181,,8.39407,8.46829,8.28633,8.38689,8.80348,7.36696,7.65187,,7.3095,7.17303,8.12831,8.26239,7.50103,9.613972,9.466027,,9.57386,9.466638,9.483771,9.622286,9.505404,-0.166393,-0.132802,,0.087812,0.144164,0.122936,0.023213,-0.038057,-0.114639,-0.08717,,-0.010308,0.108778,0.050244,-0.024282,-0.028711,0.191812,0.241047,,-0.155465,-0.187972,-0.137139,-0.0562,0.051618,-0.01405,-0.053756,,0.185092,0.294437,0.152105,0.048869,0.043371,-0.316428,-0.234572,,0.011606,-0.053756,0.078802,0.012828,-0.156382,0.078802,0.001222,,0.103236,0.232129,0.106291,-0.002443,0.032987,-0.366519,-0.161268,,-0.107512,-0.036652,-0.0281,-0.061086,-0.106901,0.320093,0.332311,,-0.048258,0.02138,-0.105069,-0.042761,0.198531,0.026878,0.135001,,-0.287718,-0.346361,-0.175929,-0.087354,-0.053756,0.294202,0.292511,,0.196407,0.277443,0.195858,0.067208,0.111218
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.02036260175357e-06,8.078016205633e-07,,1.20803561822484e-06,1.08516071814286e-06,1.05317619842891e-06,9.2096187890435e-07,9.5756640168908e-07,1.59429653793526e-06,1.43707947895508e-06,,1.68011106371262e-06,1.5625e-06,1.15868915315248e-06,1.06045625748941e-06,1.17794025850005e-06,1.099494833498e-07,1.2494259471569e-07,,8.318903308077e-08,2.9411764705882e-07,9.2912929670741e-07,8.0039052967911e-07,7.787177820514e-07,678.465543,324.234833,,173.481896,293.391197,106.214478,91.497239,172.617057,-2.045189,-1.723322,,-2.703053,-2.65346,-1.821986,-1.633804,-1.609434,4.628379,4.46254,,4.811661,4.855614,4.547068,4.474282,4.518923,8.097345,8.279402,,7.798257,7.705396,8.214982,8.135018,8.328896,-0.837971,-1.06063,,-2.37026,-1.90339,-1.6089,-1.47004,-1.44849,-3.26809,-2.9329,,-3.28006,-3.29682,-2.07577,-1.79805,-1.80762,5.23612,4.90572,,4.9129,5.10683,4.64475,4.58729,4.63278,4.16591,4.22337,,4.71897,4.5849,4.44364,4.40533,4.4197,8.74362,9.37091,,8.26957,8.16423,8.41801,8.27915,8.588,7.33105,7.42921,,7.4723,7.27598,8.04691,7.83622,8.01339,9.581875,9.586889,,9.561911,9.499222,9.566899,9.428971,9.612915,-0.164618,-0.114746,,0.074177,0.107294,0.091263,0.045082,-0.040521,-0.094921,-0.104394,,0.006894,0.045117,0.058521,0.002932,-0.039367,0.195674,0.175158,,-0.165806,-0.196044,-0.185581,-0.078557,0.055046,-0.023824,0.009163,,0.187536,0.191812,0.136834,0.123395,0.044593,-0.36041,-0.191201,,-0.087354,0.00733,0.048869,-0.008552,-0.163712,0.075747,0.026878,,0.102625,0.131336,0.185092,0.15516,0.017104,-0.279165,-0.282831,,-0.161268,-0.067195,-0.026267,-0.057421,-0.092852,0.308487,0.316428,,0.05681,-0.015272,-0.166155,-0.032987,0.178373,0.062308,0.045204,,-0.266337,-0.279776,-0.201586,-0.156992,-0.031154,0.285042,0.249706,,0.245568,0.237686,0.226048,0.119239,0.104089
7if5NDuufFcsrV24wl9jSa6hAs42,1.42230194391748e-06,1.12234461242032e-06,1.51514217458483e-06,4.6363497266579e-07,4.878048780488e-08,1.17697789064433e-06,1.1193405328914e-06,1.13923695474068e-06,1.82352941176471e-06,1.93850780240885e-06,2.32597425824105e-06,5.3266971400808e-07,4.878048780488e-08,1.967831284249e-06,2.05882352941176e-06,2.00086486490529e-06,5.9988464865797e-07,4.4194173824159e-07,4.5500686808003e-07,3.9460023132349e-07,4.878048780488e-08,1.6637806616154e-07,2e-08,8.318903308077e-08,183.810615,85.707586,415.062783,15.763589,2.0,214.559323,219.855907,359.167987,-0.492807,-1.593343,-1.237434,-3.241745,-3.19147,-0.557849,-1.729331,-0.175226,6.03658,6.42005,6.482947,7.004235,7.18979,5.893926,6.087736,5.868338,7.892487,7.047332,7.184262,5.081695,5.05655,6.934207,7.5561,7.493702,0.076614,0.069432,-0.141258,-2.95444,-3.19147,0.536301,0.155623,0.792481,-1.8172,-3.50751,-3.16513,-3.52905,-3.19147,-1.99676,-2.67432,-2.08296,6.20577,6.76841,7.15148,7.05092,7.18979,6.15789,6.29914,6.22253,5.84425,6.08845,6.23929,6.95755,7.18979,5.72693,5.82988,5.45878,8.55688,7.75482,8.44674,5.18824,5.05655,8.77475,8.22408,8.34619,7.07247,6.21056,6.41885,4.97515,5.05655,4.38618,6.00705,6.39012,9.975958,9.806251,9.822004,9.243917,9.351324,9.250085,9.901556,9.576019,-0.269086,-0.258549,-0.370419,-0.347582,-0.036652,0.359189,-0.161268,-0.073495,-0.091426,-0.49984,-0.955816,-0.53634,-0.177151,0.979445,0.248928,0.012981,0.195782,0.094837,0.124147,-0.13378,-0.185703,-0.041386,0.069761,0.125457,0.046426,-0.014661,-0.09163,-0.285274,-0.036652,0.843605,0.193033,0.059865,-0.493579,-0.470977,-0.535118,-0.409891,-0.036652,-0.216857,-0.612698,-0.391565,-0.007941,-0.087354,-0.475864,-0.43738,-0.177151,1.5351,0.719599,0.11301,-0.351248,-0.855211,-1.55648,-0.6353,-0.177151,0.175929,0.009774,-0.352469,0.260839,0.156992,0.206472,-0.132558,-0.185703,0.128893,0.153938,0.276111,0.083688,-0.007941,-0.095906,-0.135001,-0.185703,-0.150884,-0.039095,0.01405,0.404141,0.59218,1.044463,0.653472,0.259252,1.090374,0.413954,0.216085
7if5NDuufFcsrV24wl9jSa6hAs42,9.2510224794621e-07,1.46191875655494e-06,1.22292418185781e-06,2.6448491451255e-07,,1.47137818320484e-06,1.26901818550935e-06,1.88136833496542e-06,1.88235294117647e-06,1.94789802181675e-06,1.83204841204676e-06,3.7665436690781e-07,,2.46918727786063e-06,1.94473826527253e-06,2.13965534607796e-06,2.253469547165e-07,6.373774391991e-07,2.9994232432899e-07,1.5231546211728e-07,,1.1661903789691e-07,5.7893858104675e-07,1.31843894435806e-06,179.742485,227.84864,267.171735,14.018897,,264.067512,200.517438,410.294692,-0.213802,-1.703474,-0.936611,-3.06817,,-0.446119,-2.318188,-0.207642,5.97042,6.578669,6.349424,7.037755,,6.084199,6.597223,5.954163,7.835264,7.061699,7.116044,5.19901,,6.39092,7.552508,7.598109,1.13246,-0.890643,-0.102951,-3.06218,,1.34554,-1.47483,0.632069,-2.23379,-2.99754,-3.11246,-3.07416,,-3.49314,-3.08613,-0.859518,6.54096,6.96234,6.98628,7.04853,,6.86178,6.95037,6.2345,5.49709,6.20577,6.1124,7.02698,,5.53061,6.34703,5.61201,8.98544,8.0948,7.74524,5.42766,,10.7715,8.81545,8.41323,7.00543,6.10043,6.09803,4.97036,,2.17154,5.07571,6.74686,9.922071,9.84254,9.631814,9.274259,,9.386867,10.350207,9.677951,-0.033659,-0.430202,-0.240009,-0.301462,,0.699916,-0.461661,-0.180483,-0.177762,-0.738154,-0.472932,-0.664011,,1.442388,-0.08407,-0.125061,0.160535,0.190132,0.083383,-0.08827,,-0.138327,0.091859,0.226798,0.131947,-0.147219,-0.074526,-0.200975,,1.58153,-0.163712,0.005498,-0.306043,-0.688445,-0.540616,-0.401949,,-0.198531,-0.843605,-0.334143,-0.018326,-0.321926,-0.211359,-0.558942,,2.30602,0.172875,-0.041539,-0.535118,-1.03358,-0.924239,-0.769079,,0.204029,-0.50152,-0.225409,0.302378,0.246179,0.216857,-0.061086,,0.078802,0.166155,0.290161,0.089186,0.066584,-0.010996,-0.115454,,-0.323759,0.013439,0.182649,0.298451,0.884954,0.544465,0.737511,,1.64347,0.547276,0.324502
